cloud,instance_name,vcpu,mem,ssd_tb,jobs_dbu,jobs_photon_dbu,all_purp_photon_dbu,vm_per_hr
gcp,n1-standard-4,4,15,0.8,0.71,1.775,1.42,0.19
gcp,n1-standard-8,8,30,0.8,1.41,3.525,2.82,0.38
gcp,n1-standard-16,16,60,1.1,2.82,7.05,5.64,0.76
gcp,n1-standard-32,32,120,2.3,5.64,14.1,11.28,1.52
gcp,n1-standard-64,64,240,6,11.28,28.2,22.56,3.04
gcp,n1-standard-96,96,360,6,16.92,42.3,33.84,
gcp,n1-highmem-4,4,26,0.8,0.87,2.175,1.74,0.24
gcp,n1-highmem-8,8,52,0.8,1.74,4.35,3.48,0.47
gcp,n1-highmem-16,16,104,1.1,3.48,8.7,6.96,0.95
gcp,n1-highmem-32,32,208,3,6.96,17.4,13.92,1.89
gcp,n1-highmem-64,64,416,6,13.92,34.8,27.84,3.79
gcp,n1-highmem-96,96,624,6,20.88,52.2,41.76,5.68
gcp,n1-highcpu-16,16,14.4,,2.14,5.34,4.272,0.57
gcp,n1-highcpu-32,32,28.8,,4.27,10.68,8.544,1.13
gcp,n1-highcpu-64,64,57.6,,8.54,21.36,17.088,2.27
gcp,n1-highcpu-96,96,86.4,,12.82,32.04,25.632,3.4
gcp,n2-standard-4,4,16,0.8,0.72,1.8,1.44,0.19
gcp,n2-standard-8,8,32,0.8,1.44,3.6,2.88,0.39
gcp,n2-standard-16,16,64,1.5,2.88,7.2,5.76,0.78
gcp,n2-standard-32,32,128,3,5.76,14.4,11.52,1.55
gcp,n2-standard-48,48,192,3,8.64,21.6,17.28,2.33
gcp,n2-standard-64,64,256,6,11.52,28.8,23.04,3.11
gcp,n2-standard-80,80,320,6,14.4,36,28.8,3.88
gcp,n2-highmem-2,2,16,0.8,0.48,1.2,0.96,0.13
gcp,n2-highmem-4,4,32,0.8,0.96,2.4,1.92,0.26
gcp,n2-highmem-8,8,64,1.5,1.92,4.8,3.84,0.52
gcp,n2-highmem-16,16,128,1.5,3.84,9.6,7.68,1.05
gcp,n2-highmem-32,32,256,3,7.68,19.2,15.36,2.1
gcp,n2-highmem-48,48,384,6,11.52,28.8,23.04,3.14
gcp,n2-highmem-64,64,512,6,15.36,38.4,30.72,4.19
