cloud,sku,cluster_size,worker_node_count,worker_cpu_count,worker_node_instance,driver_node_instance,dbu_per_hr
GCP,serverless,2X-Small,1,8,n2-highmem-8,n2-highmem-8,4
GCP,serverless,X-Small,2,16,n2-highmem-8,n2-highmem-8,6
GCP,serverless,Small,4,32,n2-highmem-8,n2-highmem-16,12
GCP,serverless,Medium,7,56,n2-highmem-8,n2-highmem-32,24
GCP,serverless,Large,14,112,n2-highmem-8,n2-highmem-32,40
GCP,serverless,X-Large,28,224,n2-highmem-8,n2-highmem-64,80
GCP,serverless,2X-Large,56,448,n2-highmem-8,n2-highmem-64,144
GCP,serverless,3X-Large,112,896,n2-highmem-8,n2-highmem-64,272
GCP,serverless,4X-Large,224,1792,n2-highmem-8,n2-highmem-64,528
GCP,pro,2X-Small,1,8,n2-highmem-8,n2-highmem-8,4
GCP,pro,X-Small,2,16,n2-highmem-8,n2-highmem-8,6
GCP,pro,Small,4,32,n2-highmem-8,n2-highmem-16,12
GCP,pro,Medium,8,64,n2-highmem-8,n2-highmem-32,24
GCP,pro,Large,16,128,n2-highmem-8,n2-highmem-32,40
GCP,pro,X-Large,32,256,n2-highmem-8,n2-highmem-64,80
GCP,pro,2X-Large,64,512,n2-highmem-8,n2-highmem-64,144
GCP,pro,3X-Large,128,1024,n2-highmem-8,n2-highmem-64,272
GCP,pro,4X-Large,256,2048,n2-highmem-8,n2-highmem-64,528
AWS,pro,2X-Small,1,8,i3.2xlarge,i3.2xlarge,4
AWS,pro,X-Small,2,16,i3.2xlarge,i3.2xlarge,6
AWS,pro,Small,4,32,i3.2xlarge,i3.4xlarge,12
AWS,pro,Medium,8,64,i3.2xlarge,i3.8xlarge,24
AWS,pro,Large,16,128,i3.2xlarge,i3.8xlarge,40
AWS,pro,X-Large,32,256,i3.2xlarge,i3.16xlarge,80
AWS,pro,2X-Large,64,512,i3.2xlarge,i3.16xlarge,144
AWS,pro,3X-Large,128,1024,i3.2xlarge,i3.16xlarge,272
AWS,pro,4X-Large,256,2048,i3.2xlarge,i3.16xlarge,528
AWS,serverless,2X-Small,1,8,m6id.2xlarge,r6id.2xlarge,4
AWS,serverless,X-Small,2,16,m6id.2xlarge,r6id.2xlarge,6
AWS,serverless,Small,4,32,m6id.2xlarge,r6id.2xlarge,12
AWS,serverless,Medium,7,56,m6id.2xlarge,r6id.2xlarge,24
AWS,serverless,Large,14,112,m6id.2xlarge,r6id.2xlarge,40
AWS,serverless,X-Large,28,224,m6id.2xlarge,r6id.2xlarge,80
AWS,serverless,2X-Large,56,448,m6id.2xlarge,r6id.2xlarge,144
AWS,serverless,3X-Large,112,896,m6id.2xlarge,r6id.2xlarge,272
AWS,serverless,4X-Large,224,1792,m6id.2xlarge,r6id.2xlarge,528
Azure,pro,2X-Small,1,8,E8ds_v4,E8ds_v4,4
Azure,pro,X-Small,2,16,E8ds_v4,E8ds_v4,6
Azure,pro,Small,4,32,E8ds_v4,E16ds_v4,12
Azure,pro,Medium,8,64,E8ds_v4,E32ds_v4,24
Azure,pro,Large,16,128,E8ds_v4,E32ds_v4,40
Azure,pro,X-Large,32,256,E8ds_v4,E64ds_v4,80
Azure,pro,2X-Large,64,512,E8ds_v4,E64ds_v4,144
Azure,pro,3X-Large,128,1024,E8ds_v4,E64ds_v4,272
Azure,pro,4X-Large,256,2048,E8ds_v4,E64ds_v4,528
Azure,serverless,2X-Small,1,8,E8ds_v4,E8ds_v4,4
Azure,serverless,X-Small,2,16,E8ds_v4,E8ds_v4,6
Azure,serverless,Small,4,32,E8ds_v4,E16ds_v4,12
Azure,serverless,Medium,7,56,E8ds_v4,E32ds_v4,24
Azure,serverless,Large,14,112,E8ds_v4,E32ds_v4,40
Azure,serverless,X-Large,28,224,E8ds_v4,E64ds_v4,80
Azure,serverless,2X-Large,56,448,E8ds_v4,E64ds_v4,144
Azure,serverless,3X-Large,112,896,E8ds_v4,E64ds_v4,272
Azure,serverless,4X-Large,224,1792,E8ds_v4,E64ds_v4,528
